release,className,loc,commentLines,nRevisions,nAuth,nFix,locAdded,maxLocAdded,avgLocAdded,churn,maxChurn,avgChurn,locTouched,changeSetSize,maxChangeSet,avgChangeSet,age,weightedAge,cyclomaticComplexity,duplication,nBranches,maxNestingDepth,nSmells,buggy
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/ErrorCodes.java,0.001522,0.022676,0.016129,0.142857,0.0,0.010861,0.02535,0.034038,0.012697,0.02535,0.034038,0.005979,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.0,0.0,0.0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/LedgerEntry.java,0.017504,0.029478,0.016129,0.142857,0.0,0.023596,0.05507,0.073944,0.027583,0.05507,0.073944,0.01299,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.005051,0.090909,0.0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/LedgerHandle.java,0.143836,0.111111,0.016129,0.142857,0.0,0.130712,0.30507,0.409624,0.152802,0.30507,0.409624,0.071959,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.050505,0.363636,0.0,yes
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/LedgerRecoveryMonitor.java,0.098935,0.052154,0.016129,0.142857,0.0,0.079775,0.186189,0.25,0.093257,0.186189,0.25,0.043918,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.09596,0.454545,0.0,yes
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/LedgerSequence.java,0.019787,0.028345,0.016129,0.142857,0.0,0.024345,0.056818,0.076291,0.028459,0.056818,0.076291,0.013402,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.005051,0.090909,0.0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/LedgerStream.java,0.035769,0.046485,0.016129,0.142857,0.0,0.038951,0.090909,0.122066,0.045534,0.090909,0.122066,0.021443,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.035354,0.545455,0.0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/QuorumEngine.java,0.135464,0.044218,0.016129,0.142857,0.0,0.099251,0.231643,0.311033,0.116025,0.231643,0.311033,0.054639,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.030303,0.454545,0.0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/QuorumOpMonitor.java,0.199391,0.173469,0.016129,0.142857,0.0,0.185768,0.433566,0.58216,0.217163,0.433566,0.58216,0.102268,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.267677,0.818182,0.0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/client/ReadCallback.java,0.000761,0.035147,0.016129,0.142857,0.0,0.014232,0.033217,0.044601,0.016637,0.033217,0.044601,0.007835,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.0,0.0,0.0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/proto/BookieClient.java,0.169711,0.0839,0.016129,0.142857,0.0,0.12809,0.298951,0.401408,0.149737,0.298951,0.401408,0.070515,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.085859,0.545455,0.0,yes
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/proto/BookieProtocol.java,0.005327,0.064626,0.016129,0.142857,0.0,0.026217,0.061189,0.08216,0.030648,0.061189,0.08216,0.014433,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.005051,0.0,0.0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/proto/BookieServer.java,0.101218,0.035147,0.016129,0.142857,0.0,0.067041,0.156469,0.210094,0.078371,0.156469,0.210094,0.036907,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.075758,0.363636,0.0,no
3.1.0,src/contrib/bookkeeper/src/java/org/apache/bookkeeper/proto/NIOServerFactory.java,0.276256,0.120181,0.016129,0.142857,0.0,0.199251,0.465035,0.624413,0.232925,0.465035,0.624413,0.109691,0.047059,0.175,0.245614,0.009615,0.009852,0.0,0.0,0.227273,0.636364,0.0,yes
