release,className,loc,commentLines,nRevisions,nAuth,nFix,locAdded,maxLocAdded,avgLocAdded,churn,maxChurn,avgChurn,locTouched,changeSetSize,maxChangeSet,avgChangeSet,age,weightedAge,cyclomaticComplexity,duplication,nBranches,maxNestingDepth,nSmells,buggy
3.1.0,src/java/main/org/apache/zookeeper/server/ConnectionMXBean.java,13,52,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/DataTreeBean.java,37,20,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,3,3,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/DataTreeMXBean.java,8,36,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/RequestProcessor.java,5,29,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/SessionTracker.java,14,34,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,3,2,0,yes
3.1.0,src/java/main/org/apache/zookeeper/server/ZooKeeperServerBean.java,71,20,2,1,0,2,1,1.0,4,2,2.0,8,16,8,8.0,1.0,1.0,0,0,2,3,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/ZooKeeperServerMXBean.java,17,62,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/auth/AuthenticationProvider.java,10,65,1,1,0,2,2,2.0,1,1,1.0,3,12,12,12.0,7.0,7.0,0,0,9,1,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/auth/HostAuthenticationProvider.java,42,18,1,1,0,4,4,4.0,2,2,2.0,6,12,12,12.0,7.0,7.0,0,0,8,4,0,yes
3.1.0,src/java/main/org/apache/zookeeper/server/persistence/SnapShot.java,13,41,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,4,1,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/persistence/TxnLog.java,19,81,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,6,2,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/quorum/AckRequestProcessor.java,14,25,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,3,2,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/quorum/Election.java,5,17,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/quorum/FollowerBean.java,22,20,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/quorum/FollowerMXBean.java,7,29,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/quorum/FollowerSyncRequest.java,13,17,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/quorum/LeaderBean.java,25,20,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,3,3,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/quorum/LeaderElectionBean.java,15,20,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/quorum/LeaderElectionMXBean.java,4,24,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/quorum/LeaderMXBean.java,6,26,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/quorum/LocalPeerBean.java,35,20,1,1,0,68,68,68.0,68,68,68.0,68,66,66,66.0,4.0,4.0,0,0,2,2,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/quorum/LocalPeerMXBean.java,10,44,1,1,0,64,64,64.0,64,64,64.0,64,66,66,66.0,4.0,4.0,0,0,2,1,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/quorum/ProposalRequestProcessor.java,31,32,1,1,0,0,0,0.0,1,1,1.0,1,66,66,66.0,4.0,4.0,0,0,6,4,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/quorum/QuorumBean.java,20,17,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/quorum/QuorumMXBean.java,5,26,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,1,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/quorum/RemotePeerBean.java,18,21,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,2,2,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/quorum/RemotePeerMXBean.java,5,26,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,3,1,0,no
3.1.0,src/java/main/org/apache/zookeeper/server/quorum/ServerBean.java,12,20,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,3,2,0,no
