release,className,loc,commentLines,nRevisions,nAuth,nFix,locAdded,maxLocAdded,avgLocAdded,churn,maxChurn,avgChurn,locTouched,buggy
3.0.0,ObservableDataTree,115,26,5,2,0,19,8,3.8,119,115,23.8,149,no
3.0.0,ObservableNIOServerCnxn,85,26,4,1,0,11,7,2.75,87,85,21.75,105,no
3.0.0,ObservableZooKeeperServer,56,24,7,3,0,29,10,4.142857142857143,66,56,9.428571428571429,108,no
3.0.0,ZooKeeperObserverNotifier,76,35,4,1,0,11,7,2.75,78,76,19.5,96,no
3.0.0,ManagedQuorumPeer,225,47,8,3,0,72,24,9.0,263,225,32.875,387,no
3.0.0,ManagedQuorumPeerMain,137,49,7,3,0,178,142,25.428571428571427,316,142,45.142857142857146,356,no
3.0.0,ObservableFollower,78,25,4,1,0,11,7,2.75,80,78,20.0,98,no
3.0.0,ObservableFollowerZooKeeperServer,55,25,5,2,0,14,7,2.8,57,55,11.4,81,no
3.0.0,ObservableLeader,82,26,4,1,0,11,7,2.75,84,82,21.0,102,no
3.0.0,ObservableLeaderZooKeeperServer,55,25,5,2,0,14,7,2.8,57,55,11.4,81,no
3.0.0,ObservableQuorumPeer,115,31,8,3,0,59,23,7.375,139,115,17.375,225,no
3.0.0,ConnectionObserver,38,29,4,1,0,9,7,2.25,40,38,10.0,54,no
3.0.0,DataTreeObserver,53,41,4,1,0,10,7,2.5,55,53,13.75,71,no
3.0.0,EventInfo,30,24,4,1,0,8,7,2.0,32,30,8.0,44,no
3.0.0,ObservableComponent,34,28,4,1,0,8,7,2.0,36,34,9.0,48,no
3.0.0,ObserverManager,95,38,4,1,0,8,7,2.0,97,95,24.25,109,no
3.0.0,QuorumPeerObserver,69,53,4,1,0,11,7,2.75,71,69,17.75,89,no
3.0.0,ServerObserver,38,29,4,1,0,9,7,2.25,40,38,10.0,54,no
3.0.0,ZooKeeperObserverManager,61,24,4,1,0,12,7,3.0,63,61,15.75,83,no
3.0.0,BinaryInputArchive,132,22,7,3,0,21,12,3.0,10,5,1.4285714285714286,44,no
3.0.0,BinaryOutputArchive,149,28,5,2,0,9,5,1.8,3,3,0.6,21,no
3.0.0,CsvInputArchive,210,22,6,3,0,4,2,0.6666666666666666,6,4,1.0,14,no
3.0.0,CsvOutputArchive,151,22,6,3,0,11,4,1.8333333333333333,4,3,0.6666666666666666,20,no
3.0.0,Index,39,32,4,2,0,1,1,0.25,1,1,0.25,3,no
3.0.0,InputArchive,45,22,4,2,0,1,1,0.25,2,2,0.5,4,no
3.0.0,OutputArchive,48,22,6,3,0,6,4,1.0,1,1,0.16666666666666666,13,no
3.0.0,Record,33,22,5,3,0,4,3,0.8,4,3,0.8,6,no
3.0.0,RecordReader,98,32,5,2,0,7,6,1.4,5,5,1.0,19,no
3.0.0,RecordWriter,117,31,5,2,0,8,6,1.6,24,20,4.8,40,no
3.0.0,Utils,278,73,8,5,0,37,16,4.625,8,5,1.0,68,yes
3.0.0,XmlInputArchive,251,22,4,2,0,15,14,3.75,0,0,0.0,30,no
3.0.0,XmlOutputArchive,252,22,6,3,0,16,10,2.6666666666666665,1,1,0.16666666666666666,33,no
3.0.0,CGenerator,88,35,7,5,0,130,57,18.571428571428573,47,39,6.714285714285714,215,no
3.0.0,CppGenerator,83,34,8,5,0,126,53,15.75,47,39,5.875,207,no
3.0.0,JBoolean,43,22,5,2,0,10,9,2.0,9,8,1.8,13,no
3.0.0,JBuffer,107,22,7,3,0,13,7,1.8571428571428572,1,1,0.14285714285714285,27,no
3.0.0,JByte,35,22,5,2,0,2,1,0.4,1,1,0.2,5,no
3.0.0,JCompType,55,24,5,2,0,16,15,3.2,15,13,3.0,21,no
3.0.0,JDouble,41,22,5,2,0,2,1,0.4,1,1,0.2,5,no
3.0.0,JField,99,24,5,2,0,43,42,8.6,43,42,8.6,45,no
3.0.0,JFile,75,35,7,3,0,29,15,4.142857142857143,12,5,1.7142857142857142,46,no
3.0.0,JFloat,40,22,5,2,0,2,1,0.4,1,1,0.2,5,no
3.0.0,JInt,35,22,5,2,0,2,1,0.4,1,1,0.2,5,no
3.0.0,JLong,39,22,5,2,0,2,1,0.4,1,1,0.2,5,no
3.0.0,JMap,101,22,6,3,0,57,49,9.5,48,46,8.0,66,no
3.0.0,JRecord,508,26,16,7,0,1021,412,63.8125,270,226,16.875,1788,yes
3.0.0,JString,47,22,5,2,0,2,1,0.4,1,1,0.2,5,no
3.0.0,JType,142,25,5,2,0,67,66,13.4,64,63,12.8,72,no
3.0.0,JVector,106,22,6,3,0,54,49,9.0,47,47,7.833333333333333,61,no
3.0.0,JavaGenerator,62,33,6,3,0,17,7,2.8333333333333335,8,5,1.3333333333333333,36,no
3.0.0,ParseException,210,86,4,1,0,1,1,0.25,210,210,52.5,212,no
3.0.0,Rcc,525,18,5,1,0,31,29,6.2,531,525,106.2,581,no
3.0.0,RccConstants,88,18,4,1,0,1,1,0.25,88,88,22.0,90,no
3.0.0,RccTokenManager,833,18,4,1,0,2,2,0.5,833,833,208.25,837,no
3.0.0,SimpleCharStream,457,33,4,1,0,1,1,0.25,457,457,114.25,459,no
3.0.0,Token,99,69,4,1,0,1,1,0.25,99,99,24.75,101,no
3.0.0,TokenMgrError,151,65,4,1,0,1,1,0.25,151,151,37.75,153,no
3.0.0,AsyncCallback,52,17,8,4,0,293,255,36.625,281,253,35.125,305,no
3.0.0,ClientCnxn,1045,105,90,15,0,2233,169,24.81111111111111,1468,233,16.31111111111111,3664,yes
3.0.0,ClientWatchManager,39,31,4,3,0,47,41,11.75,46,41,11.5,54,no
3.0.0,CreateMode,89,37,6,5,0,182,89,30.333333333333332,166,89,27.666666666666668,198,no
3.0.0,KeeperException,336,40,20,9,0,823,383,41.15,525,261,26.25,1121,yes
3.0.0,ServerAdminClient,312,17,8,4,0,347,264,43.375,90,48,11.25,676,no
3.0.0,Version,78,28,6,4,0,31,12,5.166666666666667,16,11,2.6666666666666665,46,yes
3.0.0,WatchedEvent,81,32,4,3,0,87,73,21.75,85,73,21.25,93,no
3.0.0,Watcher,107,36,14,6,0,186,71,13.285714285714286,141,43,10.071428571428571,235,no
3.0.0,ZooDefs,112,33,18,6,0,53,8,2.9444444444444446,41,6,2.2777777777777777,79,no
3.0.0,ZooKeeper,1040,462,83,18,0,3144,302,37.87951807228916,2733,266,32.9277108433735,4445,yes
3.0.0,ZooKeeperMain,232,21,55,12,0,1350,414,24.545454545454547,1200,273,21.818181818181817,2036,yes
3.0.0,ByteBufferInputStream,72,17,5,3,0,22,10,4.4,12,10,2.4,32,no
3.0.0,DataNode,125,41,24,7,0,225,70,9.375,145,37,6.041666666666667,359,yes
3.0.0,DataTree,798,147,72,15,0,1950,327,27.083333333333332,1454,257,20.194444444444443,2936,yes
3.0.0,FinalRequestProcessor,265,33,52,15,0,540,54,10.384615384615385,341,49,6.5576923076923075,819,yes
3.0.0,LogFormatter,72,22,11,7,0,68,44,6.181818181818182,44,35,4.0,100,no
3.0.0,NIOServerCnxn,888,152,79,15,0,3454,850,43.721518987341774,2400,777,30.379746835443036,6954,yes
3.0.0,PrepRequestProcessor,460,47,87,21,0,1338,243,15.379310344827585,858,192,9.862068965517242,2108,yes
3.0.0,PurgeTxnLog,94,26,16,8,0,339,85,21.1875,161,56,10.0625,525,yes
3.0.0,Request,197,37,24,9,0,209,38,8.708333333333334,118,21,4.916666666666667,306,no
3.0.0,RequestProcessor,37,29,5,2,0,18,8,3.6,9,7,1.8,27,no
3.0.0,ServerCnxn,80,17,28,11,0,636,381,22.714285714285715,640,324,22.857142857142858,942,yes
3.0.0,ServerConfig,67,17,16,7,0,183,52,11.4375,68,14,4.25,306,yes
3.0.0,ServerStats,140,20,16,9,0,173,55,10.8125,108,16,6.75,282,yes
3.0.0,SessionTracker,58,34,11,7,0,104,50,9.454545454545455,86,47,7.818181818181818,124,yes
3.0.0,SessionTrackerImpl,219,25,32,10,0,370,59,11.5625,224,45,7.0,626,yes
3.0.0,SyncRequestProcessor,144,33,30,7,0,485,264,16.166666666666668,273,151,9.1,1015,yes
3.0.0,TraceFormatter,119,21,12,8,0,28,8,2.3333333333333335,16,4,1.3333333333333333,40,no
3.0.0,WatchManager,113,21,17,6,0,227,57,13.352941176470589,162,53,9.529411764705882,296,no
3.0.0,ZooKeeperServer,616,111,85,29,0,1481,182,17.423529411764704,1350,380,15.882352941176471,2616,yes
3.0.0,ZooKeeperServerMain,86,29,30,13,0,340,74,11.333333333333334,248,74,8.266666666666667,448,yes
3.0.0,ZooTrace,92,27,9,4,0,115,92,12.777777777777779,5,2,0.5555555555555556,229,no
3.0.0,AuthenticationProvider,81,65,4,2,0,12,8,3.0,3,2,0.75,21,no
3.0.0,DigestAuthenticationProvider,127,17,9,5,0,165,127,18.333333333333332,14,10,1.5555555555555556,316,no
3.0.0,HostAuthenticationProvider,67,18,5,2,0,16,8,3.2,73,69,14.6,97,no
3.0.0,IPAuthenticationProvider,115,20,6,3,0,35,16,5.833333333333333,19,15,3.1666666666666665,51,no
3.0.0,ProviderRegistry,78,17,14,8,0,114,70,8.142857142857142,34,12,2.4285714285714284,206,yes
3.0.0,FileSnap,159,55,15,8,0,351,134,23.4,266,134,17.733333333333334,452,yes
3.0.0,FileTxnLog,485,157,43,20,0,1231,480,28.627906976744185,900,480,20.930232558139537,1716,yes
3.0.0,FileTxnSnapLog,246,106,41,16,0,776,236,18.926829268292682,623,236,15.195121951219512,995,yes
3.0.0,SnapShot,60,41,5,4,0,73,59,14.6,68,59,13.6,78,no
3.0.0,TxnLog,114,81,8,6,0,146,115,18.25,141,115,17.625,151,yes
3.0.0,Util,305,131,12,7,0,419,336,34.916666666666664,466,336,38.833333333333336,520,yes
3.0.0,AckRequestProcessor,45,25,6,4,0,24,9,4.0,11,8,1.8333333333333333,37,no
3.0.0,AuthFastLeaderElection,898,144,25,6,0,1329,908,53.16,132,67,5.28,2580,no
3.0.0,CommitProcessor,189,50,31,13,0,789,246,25.451612903225808,316,160,10.193548387096774,1298,yes
3.0.0,Election,26,17,6,3,0,23,18,3.8333333333333335,19,18,3.1666666666666665,27,no
3.0.0,FastLeaderElection,626,208,55,12,0,1882,284,34.21818181818182,711,106,12.927272727272728,3137,yes
3.0.0,Follower,378,77,39,11,0,816,369,20.923076923076923,401,268,10.282051282051283,1785,yes
3.0.0,FollowerHandler,395,63,21,4,0,571,391,27.19047619047619,93,19,4.428571428571429,1061,no
3.0.0,FollowerRequestProcessor,107,29,23,9,0,81,32,3.5217391304347827,54,26,2.347826086956522,112,no
3.0.0,FollowerSessionTracker,85,25,4,2,0,16,8,4.0,6,4,1.5,26,no
3.0.0,FollowerSyncRequest,34,17,2,2,0,34,18,17.0,34,18,17.0,34,no
3.0.0,FollowerZooKeeperServer,177,36,26,6,0,166,55,6.384615384615385,208,88,8.0,360,no
3.0.0,Leader,633,186,81,21,0,2085,338,25.74074074074074,1172,278,14.469135802469136,3272,yes
3.0.0,LeaderElection,194,29,23,6,0,295,109,12.826086956521738,414,293,18.0,768,no
3.0.0,LeaderZooKeeperServer,88,29,26,7,0,232,53,8.923076923076923,171,53,6.576923076923077,309,no
3.0.0,ProposalRequestProcessor,76,32,18,6,0,78,13,4.333333333333333,50,8,2.7777777777777777,136,no
3.0.0,QuorumCnxManager,564,138,64,17,0,1823,267,28.484375,961,234,15.015625,2967,yes
3.0.0,QuorumPeer,590,131,116,23,0,3420,573,29.482758620689655,1916,200,16.517241379310345,5326,yes
