loc,commentLines,nRevisions,nAuth,nFix,locAdded,maxLocAdded,avgLocAdded,churn,maxChurn,avgChurn,locTouched,changeSetSize,maxChangeSet,avgChangeSet,age,weightedAge,cyclomaticComplexity,duplication,nBranches,maxNestingDepth,nSmells,buggy
4.369448,3.78419,1.609438,1.098612,0.693147,4.043051,3.988984,2.70805,3.78419,3.663562,2.463853,4.356709,4.955827,4.574711,3.590439,5.099866,5.006297,0,0,2.397895,1.609438,2.70805,no
4.934474,4.204693,1.386294,1.386294,0,5.777652,5.347108,4.685213,5.493061,4.882802,4.402646,5.998937,4.787492,4.574711,3.705409,4.927254,4.495766,0,0,3.258097,1.609438,1.386294,no
5.267858,4.290459,1.386294,1.386294,0.693147,3.135494,2.833213,2.120264,1.94591,1.791759,1.098612,3.713572,4.060443,3.465736,2.995732,4.234107,3.96982,0.693147,0,4.077537,1.791759,3.091042,no
2.639057,3.091042,0.693147,0.693147,0,3.73767,3.73767,3.73767,3.73767,3.73767,3.73767,3.73767,2.564949,2.564949,2.564949,4.927254,4.927254,0,0,1.098612,1.098612,0,no
4.234107,3.401197,2.302585,1.609438,0,2.833213,1.609438,1.021651,2.397895,1.098612,0.747214,3.295837,5.293305,4.574711,3.135494,5.111988,4.715748,0.693147,0,2.70805,1.791759,1.94591,no
4.406719,3.496508,1.098612,1.098612,0,4.127134,3.850148,3.449988,3.7612,3.688879,3.091042,4.394449,3.583519,3.465736,2.917771,4.882802,4.689626,0,0.693147,2.484907,1.609438,2.833213,no
2.639057,3.73767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.609438,0.693147,0,no
4.025352,4.110874,0.693147,0.693147,0,4.828314,4.828314,4.828314,4.828314,4.828314,4.828314,4.828314,1.386294,1.386294,1.386294,2.995732,2.995732,0,0.693147,2.484907,1.609438,1.94591,no
2.564949,3.555348,0.693147,0.693147,0,3.931826,3.931826,3.931826,3.931826,3.931826,3.931826,3.931826,3.218876,3.218876,3.218876,1.098612,1.098612,0,0,1.386294,1.386294,1.098612,no
4.174387,3.465736,0.693147,0.693147,0.693147,4.644391,4.644391,4.644391,4.644391,4.644391,4.644391,4.644391,0.693147,0.693147,0.693147,4.59512,4.59512,1.098612,0,3.178054,1.791759,2.397895,no
3.850148,3.178054,0.693147,0.693147,0,4.394449,4.394449,4.394449,4.394449,4.394449,4.394449,4.394449,2.564949,2.564949,2.564949,4.369448,4.369448,0,0,1.609438,1.386294,0,no
4.290459,3.091042,1.609438,1.386294,0,1.94591,1.386294,0.916291,0.693147,0.693147,0.223144,2.639057,4.317488,3.465736,2.970414,4.882802,4.492949,0,0.693147,1.609438,1.386294,0.693147,no
3.89182,2.890372,1.098612,1.098612,0,4.343805,4.330733,3.663562,4.330733,4.330733,3.650658,4.356709,4.875197,4.574711,4.189655,4.532599,4.520517,0,0,2.484907,1.386294,2.397895,no
4.382027,3.73767,0.693147,0.693147,0,4.844187,4.844187,4.844187,4.844187,4.844187,4.844187,4.844187,0.693147,0.693147,0.693147,5.01728,5.01728,1.098612,0,2.564949,1.609438,3.135494,no
3.970292,3.091042,0.693147,0.693147,0,4.454347,4.454347,4.454347,4.454347,4.454347,4.454347,4.454347,3.044522,3.044522,3.044522,3.583519,3.583519,0,0,1.94591,1.386294,1.609438,no
1.791759,3.401197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098612,0.693147,0,no
2.944439,2.890372,1.098612,1.098612,0,3.73767,3.713572,3.068053,3.713572,3.713572,3.044522,3.7612,4.875197,4.574711,4.189655,4.727388,4.708672,0,0,1.098612,1.098612,1.098612,no
4.290459,3.433987,0.693147,0.693147,0,0.693147,0.693147,0.693147,1.609438,1.609438,1.609438,1.94591,3.465736,3.465736,3.465736,3.78419,3.78419,0,0,1.791759,1.609438,2.639057,no
5.438079,3.931826,2.397895,1.609438,0,5.874931,5.726848,3.597312,5.905362,5.726848,3.627004,6.037871,5.308268,4.574711,3.049273,4.770685,4.578551,0.693147,0,3.044522,2.079442,3.218876,no
2.564949,3.091042,1.098612,1.098612,0,0.693147,0.693147,0.405465,0.693147,0.693147,0.405465,1.386294,3.871201,3.465736,3.198673,5.164786,4.953477,0,0.693147,1.098612,1.098612,0.693147,no
6.037871,4.521789,3.135494,2.079442,2.484907,6.016157,4.043051,2.975066,5.384495,3.931826,2.385421,6.44254,5.476464,4.574711,2.469639,4.65396,3.597684,1.386294,0.693147,4.094345,2.397895,4.343805,no
5.411646,2.890372,1.098612,1.098612,0,1.386294,1.386294,0.916291,3.637586,3.610918,2.970414,3.73767,4.867534,4.574711,4.18205,4.430817,4.169497,0,1.386294,3.044522,1.791759,3.637586,no
1.94591,3.401197,0.693147,0.693147,0,3.637586,3.637586,3.637586,3.637586,3.637586,3.637586,3.637586,3.218876,3.218876,3.218876,4.49981,4.49981,0,0,1.386294,0.693147,0,no
1.609438,2.890372,0.693147,0.693147,0,3.135494,3.135494,3.135494,3.135494,3.135494,3.135494,3.135494,3.555348,3.555348,3.555348,4.85203,4.85203,0,0,1.098612,1.098612,0.693147,no
2.564949,3.091042,1.098612,1.098612,0,0.693147,0.693147,0.405465,0.693147,0.693147,0.405465,1.386294,3.871201,3.465736,3.198673,4.912655,4.63796,0,0,1.098612,1.098612,0,no
5.869297,3.526361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147,0,3.555348,1.791759,3.496508,no
4.905275,4.174387,1.609438,1.386294,0,4.59512,3.555348,3.238678,3.912023,3.044522,2.583998,4.997212,4.744932,4.574711,3.38439,5.247024,5.044259,0,0,3.044522,1.609438,2.302585,no
3.295837,3.295837,0.693147,0.693147,0,4.158883,4.158883,4.158883,4.158883,4.158883,4.158883,4.158883,3.367296,3.367296,3.367296,1.098612,1.098612,0,0,1.386294,1.098612,1.94591,no
2.639057,4.430817,0.693147,0.693147,0,4.65396,4.65396,4.65396,4.65396,4.65396,4.65396,4.65396,4.744932,4.744932,4.744932,2.564949,2.564949,0,0,2.079442,0.693147,0,no
1.791759,3.465736,0.693147,0.693147,0,0,0,0,0.693147,0.693147,0.693147,0.693147,3.465736,3.465736,3.465736,4.962845,4.962845,0,0,1.609438,0.693147,0,no
1.94591,3.091042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098612,0.693147,0,no
6.068426,4.65396,1.94591,1.791759,0,3.044522,2.70805,1.466337,6.375025,6.368187,4.591747,6.434547,5.293305,4.574711,3.526361,5.135798,3.392153,1.098612,0.693147,4.127134,1.94591,4.043051,no
2.639057,3.091042,1.098612,1.098612,0,0.693147,0.693147,0.405465,0.693147,0.693147,0.405465,1.386294,3.871201,3.465736,3.198673,3.951244,2.961831,0,0.693147,1.098612,1.098612,0.693147,no
4.043051,3.988984,0.693147,0.693147,0,4.795791,4.795791,4.795791,4.795791,4.795791,4.795791,4.795791,3.218876,3.218876,3.218876,4.49981,4.49981,0.693147,0,2.70805,1.386294,0.693147,no
5.505332,3.951244,0.693147,0.693147,0,5.840642,5.840642,5.840642,5.840642,5.840642,5.840642,5.840642,3.367296,3.367296,3.367296,2.197225,2.197225,0,0,3.295837,1.94591,2.833213,no
5.505332,4.51086,0.693147,0.693147,0,5.894403,5.894403,5.894403,5.894403,5.894403,5.894403,5.894403,3.218876,3.218876,3.218876,2.302585,2.302585,1.098612,0,3.496508,1.94591,3.135494,no
3.7612,3.178054,0.693147,0.693147,0,4.343805,4.343805,4.343805,4.343805,4.343805,4.343805,4.343805,2.564949,2.564949,2.564949,4.369448,4.369448,0,0,1.609438,1.386294,0,no
3.258097,2.890372,0.693147,0.693147,0,3.951244,3.951244,3.951244,3.951244,3.951244,3.951244,3.951244,2.484907,2.484907,2.484907,4.248495,4.248495,0,0,1.609438,1.386294,1.609438,no
4.382027,3.555348,0.693147,0.693147,0,0,0,0,4.867534,4.867534,4.867534,4.867534,2.079442,2.079442,2.079442,3.091042,3.091042,0,1.098612,2.197225,1.609438,1.94591,no
1.94591,3.091042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.098612,0.693147,0,no
5.308268,4.882802,0.693147,0.693147,0,5.902633,5.902633,5.902633,5.902633,5.902633,5.902633,5.902633,4.744932,4.744932,4.744932,2.564949,2.564949,1.791759,0,4.394449,1.609438,3.583519,no
5.4161,4.488636,2.197225,1.791759,0.693147,3.526361,2.995732,1.634131,5.846439,5.805135,3.787027,5.966147,5.267858,4.574711,3.223863,5.075174,3.268816,0.693147,0,3.258097,1.94591,3.401197,no
1.791759,3.295837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.386294,0.693147,0,no
4.875197,5.273,2.564949,1.386294,0,7.228388,6.553933,4.751433,7.49887,6.553933,5.020035,7.917901,5.774552,5.081404,3.323236,4.997212,4.686826,0,0,2.70805,1.791759,1.609438,no
2.484907,2.890372,0.693147,0.693147,0,3.526361,3.526361,3.526361,3.526361,3.526361,3.526361,3.526361,3.555348,3.555348,3.555348,4.532599,4.532599,0,0,1.098612,0.693147,1.609438,no
4.70048,3.135494,1.94591,1.791759,0,4.276666,3.401197,2.552046,3.970292,3.332205,2.268684,4.672829,5.049856,4.574711,3.289645,5.236442,4.917637,0.693147,0,2.772589,1.791759,1.386294,no
6.694562,2.944439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70805,0,5.220356,2.197225,4.962845,no
3.988984,3.465736,1.098612,1.098612,0,1.94591,1.94591,1.386294,1.791759,1.791759,1.252763,2.890372,4.174387,3.526361,3.496508,4.905275,3.903754,0,0,1.609438,1.609438,2.079442,no
1.791759,3.465736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.609438,0.693147,0,no
4.290459,4.189655,0.693147,0.693147,0,0,0,0,5.023881,5.023881,5.023881,5.023881,2.079442,2.079442,2.079442,3.091042,3.091042,0.693147,0,2.890372,1.791759,1.94591,no
4.70953,4.465908,0.693147,0.693147,0,0,0,0,5.351858,5.351858,5.351858,5.351858,2.079442,2.079442,2.079442,2.302585,2.302585,1.098612,0,3.332205,1.791759,2.70805,no
6.326149,3.7612,1.098612,0.693147,0,6.527958,6.40688,5.836272,6.448889,6.40688,5.757323,6.60123,3.555348,3.218876,2.890372,4.94876,4.826134,0.693147,0.693147,3.555348,2.079442,4.077537,no
