loc,commentLines,nRevisions,nFix,avgChangeSet,cyclomaticComplexity,buggy
5.609472,4.682131,2.70805,1.791759,2.654247,0,no
2.70805,2.890372,0.693147,0,3.555348,0,no
3.135494,3.044522,0,0,0,0,no
3.091042,3.258097,1.386294,0,3.721669,0,no
6.165418,2.944439,0.693147,0,2.079442,2.079442,no
2.70805,3.583519,1.386294,0,1.94591,0,no
3.78419,3.044522,1.386294,0,3.680511,0,no
4.043051,3.988984,0.693147,0,3.218876,0.693147,no
1.791759,3.367296,0.693147,0,1.386294,0,no
4.394449,3.091042,1.098612,0,3.701302,0,no
2.397895,4.189655,0.693147,0,2.564949,0,no
4.820282,4.060443,1.098612,0,2.197225,0,no
4.290459,3.091042,0.693147,0,3.465736,0,no
3.637586,3.433987,0.693147,0,4.744932,0,no
3.091042,3.258097,1.386294,0,3.721669,0,no
5.680173,4.174387,0.693147,0,4.744932,0.693147,no
3.78419,3.258097,0.693147,0,1.386294,0,no
3.951244,3.526361,1.791759,0.693147,2.322388,0,no
4.543295,3.637586,1.386294,0,1.791759,0,no
4.934474,4.204693,1.386294,0,3.705409,0,no
3.89182,3.044522,2.079442,1.098612,2.258782,0,no
5.891644,4.672829,1.386294,0.693147,2.772589,1.098612,no
3.091042,2.890372,0.693147,0,3.555348,0,no
4.65396,3.178054,0.693147,0,3.951244,0,no
5.855072,5.572154,2.302585,1.791759,2.051271,1.098612,no
2.995732,4.418841,0.693147,0,2.70805,0,no
1.791759,3.295837,0.693147,0,3.367296,0,no
6.49224,5.068904,2.564949,0,2.983153,1.791759,no
4.110874,4.025352,1.609438,1.098612,2.983153,0,no
5.153292,3.73767,2.302585,1.386294,3.178054,1.609438,no
5.111988,4.89784,1.609438,0.693147,2.656757,0,no
1.94591,3.295837,0,0,0,0,no
2.397895,3.218876,0.693147,0,3.218876,0,no
3.663562,3.637586,0.693147,0,4.574711,0,no
3.367296,4.564348,0.693147,0,3.218876,0,no
2.70805,3.367296,0.693147,0,4.744932,0,no
2.197225,3.610918,0,0,0,0,no
5.236442,4.077537,1.386294,0,4.29955,0.693147,no
3.496508,3.091042,0.693147,0,2.564949,0,no
6.113682,3.218876,0.693147,0,3.465736,1.791759,no
3.7612,3.091042,0.693147,0,2.564949,0,no
2.484907,4.094345,1.386294,0,3.465736,0,no
6.165418,2.944439,0.693147,0,2.079442,2.079442,no
3.091042,3.258097,1.386294,0,3.721669,0,no
4.248495,2.890372,0.693147,0,2.484907,0,no
1.94591,3.332205,0.693147,0,2.772589,0,no
4.234107,1.94591,0.693147,0,2.397895,0,no
5.583496,5.036953,0.693147,0,3.367296,0.693147,no
2.639057,2.890372,0,0,0,0,no
4.219508,3.295837,0.693147,0,2.564949,0,no
4.043051,3.988984,0.693147,0,3.218876,0.693147,no
4.682131,3.218876,1.386294,0,2.036882,0,no
4.382027,3.555348,0.693147,0,2.079442,0,no
4.077537,3.89182,0.693147,0,0.693147,0,no
3.583519,3.091042,1.386294,0,2.268684,0,no
